Country_Name,Country_Code,Percent,Net Enrollment 2017,Population 2017
El Salvador,SLV,18.13214162,80.23355,6388124
San Marino,SMR,15.59923197,NULL,33671
Somalia,SOM,4.412382186,NULL,14589165
Serbia,SRB,8.842828167,95.17741,7020858
Sub-Saharan Africa (excluding high income),SSA,17.1187192,NULL,1050066967
South Sudan,SSD,0.867324529,NULL,10910774
Sub-Saharan Africa,SSF,17.1187192,NULL,1050162810
Small states,SST,14.75653448,85.82278,39883677
Sao Tome and Principe,STP,2.116549881,93.0763,207086
Suriname,SUR,15.27698994,86.07316,570501
Slovak Republic,SVK,9.52713127,83.09318,5439232
Slovenia,SVN,11.33996964,98.26288,2066388
Sweden,SWE,15.66719845,99.18177,10057698
Eswatini,SWZ,18.51228882,82.52357,1124808
Sint Maarten (Dutch part),SXM,NULL,NULL,40574
Seychelles,SYC,11.82717999,92.02707,95843
Syrian Arab Republic,SYR,NULL,NULL,17095669
Turks and Caicos Islands,TCA,13.74713924,NULL,37116
Chad,TCD,15.12629321,NULL,15016761
East Asia & Pacific (IDA & IBRD countries),TEA,14.49953445,NULL,2052513823
Europe & Central Asia (IDA & IBRD countries),TEC,13.43351758,92.30525,456945557
Togo,TGO,21.76996525,90.91577,7698476
Thailand,THA,14.49953445,NULL,69209817
Tajikistan,TJK,19.91269327,98.28703,8880270
Turkmenistan,TKM,27.99839973,NULL,5757667
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.57785342,93.72012,618653508
Timor-Leste,TLS,7.881289959,93.70257,1243260
Middle East & North Africa (IDA & IBRD countries),TMN,13.51741695,93.05634,372133652
Tonga,TON,15.52814685,NULL,102002
South Asia (IDA & IBRD),TSA,12.51737499,87.60735,1792883164
Sub-Saharan Africa (IDA & IBRD countries),TSS,17.1187192,NULL,1050162810
Trinidad and Tobago,TTO,11.76794669,NULL,1384060
Tunisia,TUN,NULL,NULL,11433438
Turkiye,TUR,12.42586994,87.90006,81116451
Tuvalu,TUV,NULL,NULL,11365
Tanzania,TZA,2.549432959,83.58042,54660345
Uganda,UGA,11.47267288,NULL,41166588
Ukraine,UKR,13.15972996,NULL,44831135
Upper middle income,UMC,15.25519371,95.31941,2449903406
Uruguay,URY,16.36347961,99.3775,3436645
United States,USA,13.14618153,94.62633,325122128
Uzbekistan,UZB,25.59158516,96.26941,32388600
St. Vincent and the Grenadines,VCT,19.12639999,93.58439,109826
"Venezuela, RB",VEN,NULL,87.39174,29402480
British Virgin Islands,VGB,13.99639343,NULL,29567
Virgin Islands (U.S.),VIR,NULL,NULL,107281
Vietnam,VNM,16.98699356,NULL,94600643
Vanuatu,VUT,5.588349819,NULL,285499
World,WLD,14.13446449,89.26194,7519371102
Samoa,WSM,16.21499616,94.46785,195358
Kosovo,XKX,NULL,NULL,1791003
"Yemen, Rep.",YEM,NULL,NULL,27834811
South Africa,ZAF,19.59622955,87.01258,57009751
Zambia,ZMB,17.1187192,83.16745,16853608
Zimbabwe,ZWE,19.39846982,NULL,14236599
